Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910304550110|Магазин «Арсенал» (г. Ялта, ул. Боткинская, 13в)|13,61|27,88|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9201014930|Магазин «Ассоль» (г. Севастополь, ул. Багрия, 1А)|148,53|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911106125980|Магазин «Ассорти» (с. Горностаевка, ул. Ленина, 39)|24,50|14,15|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012879|Магазин «Базальт» (г. Ялта, ул. Строителей, 4)|330,99|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910806880680|Магазин «Бешеный манго» (г. Феодосия, ул. Чкалова, 179)|118,25|45,34|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102057676|Магазин «Буква» (г. Симферополь, ул. Сергеева Ценского, 1а)|150,05|201,48|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920350728322|Магазин «Бытовая химия» (г. Севастополь, ул. Истомина 14)|18,73|42,71|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910600060066|Магазин «Вереск» (пгт. Первомайское, ул. Ленина, 82)|1445,74|364,37|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500136603|Магазин «Визит» (с. Чкалово, ул. Советская, 2)|498,51|99,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103006280|Магазин «Вилла Ксения» (г. Ялта, пгт. Семеиз, ул. Советская, 66А)|84,57|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103011427|Магазин «Вина Крыма» (г. Ялта, пгт. Гурзуф ул. Ленинградская, 15)|43,20|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9109007258|Магазин «Вина Крыма» (г. Судак, ул. Приморская, 8А)|42,93|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103006280|Магазин «Гастроном 53» (г. Ялта, ул. Кирова, 53)|135,16|0,00|0,00|
